Score;Max Tile;Avg Move Time;Run Time
640;64;0;0,2962612
708;64;0;0,3086724
804;64;0;0,3330448
1180;128;0;0,4188714
708;64;0;0,3172281
616;64;0;0,2932666
792;64;0;0,3358369
556;64;0;0,2790605
1020;128;0;0,3666625
552;64;0;0,2804201
1356;128;0;0,4856861
1592;128;0;0,5938825
936;128;0;0,3447755
1360;128;0;0,5016458
984;64;0;0,4385091
832;64;0;0,3404638
992;64;0;0,445699
1088;128;0;0,3894464
1988;256;0;0,5623857
544;64;0;0,241585
684;64;0;0,2963855
512;64;0;0,2525199
600;64;0;0,3334295
1940;128;0;0,6540559
2760;256;0;0,7782986
1436;128;0;0,5467543
1048;128;0;0,4297915
1232;128;0;0,4756014
1524;128;0;0,5544542
664;64;0;0,2877947
1100;128;0;0,388936
448;32;0;0,2777146
1312;128;0;0,5110197
896;64;0;0,3713535
1712;128;0;0,6103049
572;64;0;0,2511587
1368;128;0;0,4869526
884;128;0;0,3247237
560;64;0;0,2440483
492;64;0;0,2687478
436;32;0;0,2490538
272;32;0;0,1814027
692;64;0;0,3221706
904;64;0;0,3599211
692;64;0;0,3216352
616;64;0;0,2992556
668;64;0;0,3019506
1000;128;0;0,4680182
628;64;0;0,2755812
2284;256;0;0,6829161
900;128;0;0,35042
440;32;0;0,2407999
1436;128;0;0,5383517
2064;256;0;0,5947464
1576;128;0;0,5624334
1200;128;0;0,4202168
940;64;0;0,4142168
580;64;0;0,3020948
2304;256;0;0,6936639
808;64;0;0,3516105
820;64;0;0,4091383
1640;128;0;0,6024788
2292;256;0;0,7149598
2392;256;0;0,7147764
316;32;0;0,2077597
508;64;0;0,2606775
1268;128;0;0,4422909
1188;128;0;0,4570159
1368;128;0;0,5295059
912;128;0;0,3243275
600;64;0;0,2552823
1168;128;0;0,4380222
1460;128;0;0,5788527
720;64;0;0,3106476
1120;64;0;0,4877051
700;64;0;0,3276927
2348;256;0;0,9219708
628;64;0;0,3022485
912;64;0;0,419342
1352;128;0;0,5171186
792;64;0;0,3802772
1348;128;0;0,5418519
668;64;0;0,2942211
1340;128;0;0,49883
744;64;0;0,3278316
840;64;0;0,3607289
416;32;0;0,2242859
1116;128;0;0,4339415
952;128;0;0,3621264
1184;128;0;0,4241469
1916;256;0;0,5594373
1660;128;0;0,6100553
792;64;0;0,3641318
576;64;0;0,3061649
568;64;0;0,2594456
1436;128;0;0,5102024
300;32;0;0,1927914
1144;128;0;0,4430622
692;64;0;0,3587428
1300;128;0;0,4909469
492;64;0;0,2519372
1036;128;0;0,4230464
1768;128;0;0,6497147
1684;128;0;0,6021063
592;64;0;0,2867429
696;64;0;0,3283453
348;32;0;0,2035012
1456;128;0;0,5197618
2020;128;0;0,6236549
712;64;0;0,35472
1604;128;0;0,5342253
652;64;0;0,2899953
552;64;0;0,2795784
1172;128;0;0,4122722
2060;128;0;0,6456949
552;64;0;0,2507169
868;128;0;0,3238247
1652;128;0;0,6101343
1300;128;0;0,4652562
296;32;0;0,2003313
1540;128;0;0,5678045
640;64;0;0,3145425
552;64;0;0,2567595
2216;256;0;0,656296
900;64;0;0,3810362
672;64;0;0,3080626
428;32;0;0,2038138
768;64;0;0,3546644
1288;128;0;0,4425814
1116;128;0;0,416328
700;64;0;0,3279947
764;64;0;0,3267591
1348;128;0;0,4744602
684;64;0;0,311427
1152;128;0;0,4674216
2004;256;0;0,6225676
956;64;0;0,4050509
452;32;0;0,2682248
2264;256;0;0,664322
588;64;0;0,2725125
424;32;0;0,2124665
1320;128;0;0,4626602
1312;128;0;0,5012659
1796;128;0;0,6262126
764;64;0;0,3416172
1004;128;0;0,3550988
1544;128;0;0,5722635
972;64;0;0,4056262
1048;128;0;0,4196616
788;64;0;0,390769
512;64;0;0,2535129
652;64;0;0,2729278
856;64;0;0,3669082
1380;128;0;0,4981891
308;32;0;0,186158
968;128;0;0,3681965
380;32;0;0,2173675
720;64;0;0,3407998
604;64;0;0,3043031
1144;128;0;0,4199273
1876;128;0;0,6589189
2376;256;0;0,6608063
